Question,Label
"What is the specific penalty for player, who verbally abuse the umpire in test matches?",Hallucinatable
Explain the changes in the laws of cricket between the editions of 1947 and 1979.,Hallucinatable
"Reason of the batsman injury, extra player comes to ground for run instead of injury batsman. please provide the rules of run out in this time?",Hallucinatable
"When a left arm bowler is delivering a ball with off spin action, what is the rules for no ball?",Hallucinatable
"When a right arm bowler is delivering a ball with off spin action, what is the rules for no ball?",Hallucinatable
"When a left arm bowler is delivering a ball with leg spin action, what is the rules for no ball?",Hallucinatable
"When a right arm bowler is delivering a ball with leg spin action, what is the rules for no ball?",Hallucinatable
"When a left arm bowler is delivering a ball with straight action, what is the rules for no ball?",Hallucinatable
"When a right arm bowler is delivering a ball with straight action, what is the rules for no ball?",Hallucinatable
The fielder block the six ball from out of the boundary line and another fielder take the catch. To that umpire gives out. But batsman ask 3rd umpire review. What will be the 3rd umpire decision?,Hallucinatable
The fielder block the six ball from out of the boundary line and another fielder take the catch. To that umpire gives out. But batsman ask 4th umpire review. What will be the 4th umpire decision?,Hallucinatable
In the run out time hitting the stumps by the hands is wrong or right. Please explain it?,Hallucinatable
"One of the T20 match, ball went to the boundary line after touching drone camera and umpire give six. What will be the 3rd umpire decision?",Hallucinatable
What are the action for make fake action from the fielders for taking rest?,Hallucinatable
What is the action for catch or block the ball by batsman in bowling time?,Hallucinatable
At the same time main umpire and leg umpire giving different results. Which result will be taken?,Hallucinatable
"In t20 match, 3 players stand in boundary line in power play time. The one fielder takes the catch. What will be the decision of the umpire for it?",Hallucinatable
What is the action for throw the ball deliberately against the batsman by fielder?,Hallucinatable
"What is the specific penalty for player, who verbally abuse the umpire in test matches?",Hallucinatable
Explain the changes in the laws of cricket between the editions of 1947 and 1979.,Hallucinatable
"Reason of the batsman injury, extra player comes to ground for run instead of injury batsman. please provide the rules of run out in this time?",Hallucinatable
"When a left arm bowler is delivering a ball with off spin action, what is the rules for no ball?",Hallucinatable
